Drug	target
D02262	hsa:3748
D02262	hsa:116444
D02272	hsa:6339
D02272	hsa:3748
D02272	hsa:116444
D03878	hsa:6339
D03878	hsa:1137
D03878	hsa:3748
D01575	hsa:8913
D01575	hsa:8911
D01575	hsa:8912
D02253	hsa:6339
D02253	hsa:1137
D02253	hsa:200909
D00616	hsa:6339
D00616	hsa:3748
D00616	hsa:1137
D03830	hsa:6339
D03830	hsa:3748
D03830	hsa:1137
D00195	hsa:6339
D00195	hsa:3748
D00195	hsa:200909
D02101	hsa:6339
D02101	hsa:3748
D02101	hsa:200909
D03580	hsa:6339
D03580	hsa:3748
D03580	hsa:200909
D01275	hsa:8913
D01275	hsa:8912
D01275	hsa:8911
D00960	hsa:6339
D00960	hsa:1137
D00960	hsa:3748
D00293	hsa:6339
D00293	hsa:1137
D00293	hsa:200909
D00274	hsa:8913
D00274	hsa:8911
D00274	hsa:8912
D02092	hsa:8913
D02092	hsa:8911
D02092	hsa:8912
D00329	hsa:6339
D00329	hsa:3748
D00329	hsa:1137
D02362	hsa:6339
D02362	hsa:1137
D02362	hsa:3748
D00340	hsa:8913
D00340	hsa:8911
D00340	hsa:8912
D01350	hsa:8913
D01350	hsa:3708
D01350	hsa:8912
D00252	hsa:1137
D00252	hsa:3748
D00252	hsa:2905
D00499	hsa:6339
D00499	hsa:200909
D00499	hsa:3748
D00760	hsa:6339
D00760	hsa:1137
D00760	hsa:200909
D00519	hsa:8913
D00519	hsa:8911
D00519	hsa:8912
D00697	hsa:6339
D00697	hsa:1137
D00697	hsa:3748
D00539	hsa:6339
D00539	hsa:1137
D00539	hsa:1135
D00538	hsa:775
D00538	hsa:6331
D00538	hsa:776
D00638	hsa:6339
D00638	hsa:8913
D00638	hsa:2906
D00437	hsa:6339
D00437	hsa:3748
D00437	hsa:1137
D04985	hsa:6339
D04985	hsa:1137
D04985	hsa:200909
D00548	hsa:6339
D00548	hsa:1137
D00548	hsa:200909
D00618	hsa:6339
D00618	hsa:116444
D00618	hsa:2906
D02088	hsa:6336
D02088	hsa:775
D02088	hsa:11280
D06172	hsa:6336
D06172	hsa:6326
D06172	hsa:6328
D00648	hsa:6336
D00648	hsa:6331
D00648	hsa:6326
D00303	hsa:775
D00303	hsa:8913
D00303	hsa:776
D00110	hsa:6339
D00110	hsa:1137
D00110	hsa:3748
D00654	hsa:8913
D00654	hsa:8911
D00654	hsa:8912
D03826	hsa:6339
D03826	hsa:3748
D03826	hsa:200909
D00495	hsa:6339
D00495	hsa:1137
D00495	hsa:1135
D00631	hsa:6336
D00631	hsa:6331
D00631	hsa:6326
D04790	hsa:6336
D04790	hsa:775
D04790	hsa:6331
D00615	hsa:8913
D00615	hsa:8911
D00615	hsa:8912
D02914	hsa:8913
D02914	hsa:8911
D02914	hsa:8912
D00640	hsa:6336
D00640	hsa:775
D00640	hsa:11280
D00332	hsa:6326
D00332	hsa:11280
D00332	hsa:6323
D00711	hsa:6339
D00711	hsa:200909
D00711	hsa:1137
D01768	hsa:6326
D01768	hsa:775
D01768	hsa:6328
D00694	hsa:6339
D00694	hsa:200909
D00694	hsa:1137
D02098	hsa:775
D02098	hsa:776
D02098	hsa:11280
D03450	hsa:6326
D03450	hsa:6336
D03450	hsa:6328
D00708	hsa:6339
D00708	hsa:1137
D00708	hsa:200909
D01071	hsa:6339
D01071	hsa:1137
D01071	hsa:200909
D00733	hsa:6326
D00733	hsa:775
D00733	hsa:6328
D00791	hsa:6339
D00791	hsa:2906
D00791	hsa:116444
D02163	hsa:6339
D02163	hsa:2906
D02163	hsa:116444
D00319	hsa:6339
D00319	hsa:3748
D00319	hsa:1137
D00963	hsa:6339
D00963	hsa:6336
D00963	hsa:2906
D05461	hsa:6339
D05461	hsa:1137
D05461	hsa:3748
D00649	hsa:3708
D00649	hsa:3710
D00649	hsa:8911
D00549	hsa:200909
D00549	hsa:9424
D00549	hsa:9127
D00354	hsa:8913
D00354	hsa:3710
D00354	hsa:3708
D01256	hsa:8913
D01256	hsa:8911
D01256	hsa:8912
D00537	hsa:8913
D00537	hsa:8911
D00537	hsa:775
D03365	hsa:200909
D03365	hsa:1137
D03365	hsa:9127
D05156	hsa:200909
D05156	hsa:9127
D05156	hsa:6339
D00650	hsa:8913
D00650	hsa:3708
D00650	hsa:8912
D02347	hsa:6339
D02347	hsa:1137
D02347	hsa:200909
D00504	hsa:775
D00504	hsa:3710
D00504	hsa:8913
D00779	hsa:6336
D00779	hsa:6326
D00779	hsa:6328
D00228	hsa:6339
D00228	hsa:1137
D00228	hsa:200909
D00771	hsa:8911
D00771	hsa:8913
D00771	hsa:775
D00536	hsa:775
D00536	hsa:3708
D00536	hsa:3710
D01111	hsa:6336
D01111	hsa:775
D01111	hsa:6331
D04034	hsa:6339
D04034	hsa:1137
D04034	hsa:200909
D00633	hsa:3708
D00633	hsa:6263
D00633	hsa:6261
D00345	hsa:8913
D00345	hsa:8911
D00345	hsa:8912
D00709	hsa:6339
D00709	hsa:6336
D00709	hsa:11280
D01599	hsa:6336
D01599	hsa:6331
D01599	hsa:775
D00392	hsa:8911
D00392	hsa:8912
D00392	hsa:6331
D03180	hsa:6339
D03180	hsa:200909
D03180	hsa:1137
D00477	hsa:6336
D00477	hsa:11280
D00477	hsa:775
D02041	hsa:6336
D02041	hsa:6339
D02041	hsa:6331
D03991	hsa:6336
D03991	hsa:775
D03991	hsa:11280
D00136	hsa:6339
D00136	hsa:6336
D00136	hsa:6331
D00611	hsa:200909
D00611	hsa:9127
D00611	hsa:50801
D00726	hsa:6326
D00726	hsa:6336
D00726	hsa:6328
D00740	hsa:11280
D00740	hsa:775
D00740	hsa:776
D01854	hsa:6336
D01854	hsa:6331
D01854	hsa:6326
D02237	hsa:6326
D02237	hsa:6328
D02237	hsa:6323
D00283	hsa:6339
D00283	hsa:1137
D00283	hsa:3748
D00799	hsa:6339
D00799	hsa:2906
D00799	hsa:2905
D01448	hsa:6339
D01448	hsa:2906
D01448	hsa:2905
D00775	hsa:3748
D00775	hsa:1137
D00775	hsa:81033
D00552	hsa:775
D00552	hsa:3708
D00552	hsa:3710
D00704	hsa:6339
D00704	hsa:1137
D00704	hsa:1135
D00677	hsa:6336
D00677	hsa:6331
D00677	hsa:6326
D04370	hsa:6336
D04370	hsa:6331
D04370	hsa:6326
D00418	hsa:775
D00418	hsa:8913
D00418	hsa:6263
D00513	hsa:6339
D00513	hsa:6336
D00513	hsa:6326
D00035	hsa:6339
D00035	hsa:8911
D00035	hsa:8913
D00732	hsa:11280
D00732	hsa:775
D00732	hsa:776
D00379	hsa:6336
D00379	hsa:6326
D00379	hsa:6328
D00739	hsa:11280
D00739	hsa:775
D00739	hsa:6332
D00543	hsa:55879
D00543	hsa:6340
D00543	hsa:6338
D01287	hsa:11280
D01287	hsa:775
D01287	hsa:776
D01450	hsa:11280
D01450	hsa:775
D01450	hsa:776
D01108	hsa:2900
D01108	hsa:3756
D01108	hsa:81033
D00735	hsa:11280
D00735	hsa:775
D00735	hsa:776
D00542	hsa:6340
D00542	hsa:6338
D00542	hsa:3752
D00544	hsa:1137
D00544	hsa:6337
D00544	hsa:6338
D00651	hsa:6261
D00651	hsa:8913
D00651	hsa:6263
D00547	hsa:6340
D00547	hsa:6338
D00547	hsa:9132
D00545	hsa:6340
D00545	hsa:6338
D00545	hsa:3752
D00546	hsa:55879
D00546	hsa:6340
D00546	hsa:9132
D06106	hsa:6339
D06106	hsa:1137
D06106	hsa:200909
D00331	hsa:8913
D00331	hsa:3708
D00331	hsa:6261
D00639	hsa:6336
D00639	hsa:775
D00639	hsa:776
D01828	hsa:8913
D01828	hsa:3708
D01828	hsa:3710
D05458	hsa:6263
D05458	hsa:6261
D05458	hsa:6262
D01799	hsa:6339
D01799	hsa:1137
D01799	hsa:3748
D00373	hsa:6336
D00373	hsa:11280
D00373	hsa:6326
D00798	hsa:6336
D00798	hsa:11280
D00798	hsa:6326
D00607	hsa:6326
D00607	hsa:6328
D00607	hsa:6336
D04048	hsa:11280
D04048	hsa:6332
D04048	hsa:775
D00338	hsa:6339
D00338	hsa:1137
D00338	hsa:200909
D00574	hsa:775
D00574	hsa:6336
D00574	hsa:8913
D00524	hsa:6261
D00524	hsa:6263
D00524	hsa:5310
D00553	hsa:6326
D00553	hsa:6328
D00553	hsa:11280
D00656	hsa:8913
D00656	hsa:6261
D00656	hsa:3708
D00831	hsa:5310
D00831	hsa:6261
D00831	hsa:3708
D01243	hsa:11280
D01243	hsa:6332
D01243	hsa:6339
D04999	hsa:6339
D04999	hsa:1137
D04999	hsa:200909
D00563	hsa:6339
D00563	hsa:1137
D00563	hsa:3748
D00658	hsa:8913
D00658	hsa:3708
D00658	hsa:6261
D00380	hsa:6326
D00380	hsa:6336
D00380	hsa:6328
D02566	hsa:6336
D02566	hsa:6331
D02566	hsa:6326
D00219	hsa:775
D00219	hsa:6336
D00219	hsa:6331
D02234	hsa:6339
D02234	hsa:6262
D02234	hsa:6263
D03742	hsa:6336
D03742	hsa:6326
D03742	hsa:6328
D00451	hsa:6339
D00451	hsa:6336
D00451	hsa:6331
D02360	hsa:6339
D02360	hsa:1137
D02360	hsa:3748
D00358	hsa:11280
D00358	hsa:6332
D00358	hsa:6833
D02086	hsa:11280
D02086	hsa:6332
D02086	hsa:6833
D00394	hsa:6336
D00394	hsa:6331
D00394	hsa:6326
D00816	hsa:6336
D00816	hsa:6326
D00816	hsa:6331
D01603	hsa:6326
D01603	hsa:6328
D01603	hsa:6329
D00738	hsa:11280
D00738	hsa:6332
D00738	hsa:6339
D00812	hsa:6339
D00812	hsa:6336
D00812	hsa:11280
D00741	hsa:11280
D00741	hsa:6332
D00741	hsa:775
D00809	hsa:6336
D00809	hsa:6326
D00809	hsa:6328
D01118	hsa:6326
D01118	hsa:6336
D01118	hsa:11280
D03274	hsa:6339
D03274	hsa:1137
D03274	hsa:3748
D00326	hsa:6339
D00326	hsa:3748
D00326	hsa:1137
D00823	hsa:6339
D00823	hsa:3748
D00823	hsa:1137
D05453	hsa:6339
D05453	hsa:11280
D05453	hsa:6336
D02204	hsa:5310
D02204	hsa:6339
D02204	hsa:6329
D00480	hsa:6339
D00480	hsa:11280
D00480	hsa:6336
D01242	hsa:6339
D01242	hsa:11280
D01242	hsa:6336
