Drug	target
D00397	hsa:2914
D00397	hsa:2911
D00397	hsa:2918
D00281	hsa:5737
D00281	hsa:5733
D00281	hsa:2913
D00604	hsa:5737
D00604	hsa:5733
D00604	hsa:2913
D04375	hsa:5737
D04375	hsa:5733
D04375	hsa:6915
D03165	hsa:3361
D03165	hsa:3355
D03165	hsa:2914
D01358	hsa:5737
D01358	hsa:5031
D01358	hsa:2913
D02349	hsa:2914
D02349	hsa:2913
D02349	hsa:2918
D00509	hsa:2914
D00509	hsa:2916
D00509	hsa:5737
D00514	hsa:2914
D00514	hsa:2916
D00514	hsa:2912
D02357	hsa:2914
D02357	hsa:2913
D02357	hsa:2915
D04716	hsa:2914
D04716	hsa:2911
D04716	hsa:2915
D00606	hsa:5737
D00606	hsa:5733
D00606	hsa:6915
D02725	hsa:2914
D02725	hsa:2913
D02725	hsa:2917
D01891	hsa:2912
D01891	hsa:2915
D01891	hsa:222545
D00675	hsa:2911
D00675	hsa:2913
D00675	hsa:2914
D05740	hsa:2911
D05740	hsa:2913
D05740	hsa:2914
D00480	hsa:5737
D00480	hsa:2913
D00480	hsa:5031
D01242	hsa:5737
D01242	hsa:2913
D01242	hsa:5031
D06056	hsa:2914
D06056	hsa:2913
D06056	hsa:2915
D00996	hsa:5733
D00996	hsa:6915
D00996	hsa:5031
D02149	hsa:5733
D02149	hsa:6915
D02149	hsa:3352
D02578	hsa:2918
D02578	hsa:2916
D02578	hsa:2915
D00270	hsa:5737
D00270	hsa:2911
D00270	hsa:2912
D03274	hsa:5737
D03274	hsa:2915
D03274	hsa:5031
D01269	hsa:2914
D01269	hsa:2912
D01269	hsa:2916
D00306	hsa:2916
D00306	hsa:2915
D00306	hsa:2917
D00646	hsa:2914
D00646	hsa:2913
D00646	hsa:2911
D00666	hsa:2913
D00666	hsa:2915
D00666	hsa:2916
D01713	hsa:2911
D01713	hsa:2915
D01713	hsa:2912
D01745	hsa:2914
D01745	hsa:2911
D01745	hsa:222545
D00613	hsa:2913
D00613	hsa:2914
D00613	hsa:2911
D01297	hsa:2914
D01297	hsa:2913
D01297	hsa:2915
D00780	hsa:2914
D00780	hsa:2912
D00780	hsa:2918
D00845	hsa:2914
D00845	hsa:2915
D00845	hsa:2912
D05938	hsa:2914
D05938	hsa:2911
D05938	hsa:2913
D00380	hsa:2914
D00380	hsa:2918
D00380	hsa:2917
D00300	hsa:2913
D00300	hsa:2914
D00300	hsa:4543
D02361	hsa:2911
D02361	hsa:2915
D02361	hsa:2914
D01717	hsa:2914
D01717	hsa:2913
D01717	hsa:2911
D00609	hsa:2911
D00609	hsa:2914
D00609	hsa:2918
D01462	hsa:2911
D01462	hsa:2914
D01462	hsa:2912
D00687	hsa:2914
D00687	hsa:2913
D00687	hsa:2911
D05792	hsa:2914
D05792	hsa:2913
D05792	hsa:2911
D01332	hsa:2911
D01332	hsa:2913
D01332	hsa:2914
D02082	hsa:2914
D02082	hsa:2911
D02082	hsa:2913
D04034	hsa:2913
D04034	hsa:2914
D04034	hsa:2918
D00454	hsa:2911
D00454	hsa:2913
D00454	hsa:2912
D01994	hsa:2911
D01994	hsa:2913
D01994	hsa:2915
D01024	hsa:2914
D01024	hsa:2913
D01024	hsa:2911
D00563	hsa:2913
D00563	hsa:2911
D00563	hsa:2915
D02007	hsa:2918
D02007	hsa:2912
D02007	hsa:2917
D01051	hsa:2913
D01051	hsa:2918
D01051	hsa:2917
D01699	hsa:2914
D01699	hsa:2913
D01699	hsa:2912
D03654	hsa:2914
D03654	hsa:2913
D03654	hsa:2912
D04040	hsa:2911
D04040	hsa:2913
D04040	hsa:2915
D00451	hsa:2911
D00451	hsa:2915
D00451	hsa:2913
D00676	hsa:2911
D00676	hsa:2913
D00676	hsa:2918
D00665	hsa:2913
D00665	hsa:2911
D00665	hsa:2914
D01782	hsa:2911
D01782	hsa:2913
D01782	hsa:2914
D00136	hsa:2911
D00136	hsa:2915
D00136	hsa:2914
D01164	hsa:2911
D01164	hsa:2915
D01164	hsa:2918
D00769	hsa:2915
D00769	hsa:2913
D00769	hsa:2914
D02356	hsa:2914
D02356	hsa:2913
D02356	hsa:2915
D05129	hsa:2913
D05129	hsa:2918
D05129	hsa:2912
D02588	hsa:2918
D02588	hsa:2917
D02588	hsa:2916
D01118	hsa:2911
D01118	hsa:2913
D01118	hsa:2914
D00283	hsa:2911
D00283	hsa:2913
D00283	hsa:2914
D02671	hsa:2911
D02671	hsa:2915
D02671	hsa:2914
D00274	hsa:2911
D00274	hsa:2914
D00274	hsa:2913
D00503	hsa:2915
D00503	hsa:2912
D00503	hsa:2916
D04979	hsa:2911
D04979	hsa:2913
D04979	hsa:2915
D00494	hsa:2913
D00494	hsa:2918
D00494	hsa:2917
D00674	hsa:2911
D00674	hsa:2912
D00674	hsa:2918
D02340	hsa:2911
D02340	hsa:2913
D02340	hsa:2914
D00255	hsa:2911
D00255	hsa:2914
D00255	hsa:2913
D03415	hsa:2911
D03415	hsa:2915
D03415	hsa:2918
D00225	hsa:2911
D00225	hsa:2913
D00225	hsa:2914
D05246	hsa:2913
D05246	hsa:2911
D05246	hsa:2917
D00227	hsa:5733
D00227	hsa:6915
D00227	hsa:2913
D00371	hsa:5733
D00371	hsa:5031
D00371	hsa:6915
D01712	hsa:5733
D01712	hsa:3352
D01712	hsa:5031
D02884	hsa:5733
D02884	hsa:6915
D02884	hsa:2913
D00493	hsa:2911
D00493	hsa:2913
D00493	hsa:2912
D00987	hsa:2918
D00987	hsa:2915
D00987	hsa:2916
D00364	hsa:2911
D00364	hsa:2915
D00364	hsa:2914
D04006	hsa:5733
D04006	hsa:6915
D04006	hsa:2913
D00426	hsa:2915
D00426	hsa:2913
D00426	hsa:2918
D01652	hsa:2911
D01652	hsa:2915
D01652	hsa:2912
D01126	hsa:5737
D01126	hsa:5733
D01126	hsa:6915
D01324	hsa:2911
D01324	hsa:2913
D01324	hsa:2915
D01925	hsa:2913
D01925	hsa:2918
D01925	hsa:2912
D00400	hsa:2915
D00400	hsa:2918
D00400	hsa:2912
D00336	hsa:2913
D00336	hsa:2911
D00336	hsa:2918
D00560	hsa:2911
D00560	hsa:2915
D00560	hsa:2918
D03642	hsa:2913
D03642	hsa:2911
D03642	hsa:2914
D00301	hsa:2911
D00301	hsa:2913
D00301	hsa:2918
D02234	hsa:2911
D02234	hsa:2915
D02234	hsa:5737
D03210	hsa:2911
D03210	hsa:2914
D03210	hsa:2915
D00523	hsa:2918
D00523	hsa:222545
D00523	hsa:3361
D00528	hsa:2913
D00528	hsa:2914
D00528	hsa:2915
D01295	hsa:2911
D01295	hsa:2913
D01295	hsa:2918
D00522	hsa:2911
D00522	hsa:2914
D00522	hsa:2913
D00684	hsa:2914
D00684	hsa:2913
D00684	hsa:2918
D00790	hsa:2913
D00790	hsa:2914
D00790	hsa:2918
D00234	hsa:2911
D00234	hsa:2915
D00234	hsa:2913
D03442	hsa:3355
D03442	hsa:2913
D03442	hsa:4986
D00411	hsa:2914
D00411	hsa:2913
D00411	hsa:2912
D01441	hsa:2914
D01441	hsa:2913
D01441	hsa:2918
D01346	hsa:2914
D01346	hsa:2913
D01346	hsa:2911
D00437	hsa:2914
D00437	hsa:2913
D00437	hsa:2918
D01973	hsa:2911
D01973	hsa:2915
D01973	hsa:2914
D00241	hsa:5733
D00241	hsa:6915
D00241	hsa:5031
D02076	hsa:2915
D02076	hsa:5737
D02076	hsa:2918
D02910	hsa:2915
D02910	hsa:2913
D02910	hsa:2918
D00574	hsa:2913
D00574	hsa:2914
D00574	hsa:2912
D01236	hsa:2911
D01236	hsa:2913
D01236	hsa:2912
D00627	hsa:2915
D00627	hsa:2917
D00627	hsa:2550
D01227	hsa:2918
D01227	hsa:2911
D01227	hsa:2913
D00059	hsa:5737
D00059	hsa:5733
D00059	hsa:6915
D01964	hsa:2918
D01964	hsa:2912
D01964	hsa:2550
D00318	hsa:2914
D00318	hsa:2912
D00318	hsa:5737
D02354	hsa:2912
D02354	hsa:2918
D02354	hsa:2917
D00524	hsa:5737
D00524	hsa:2913
D00524	hsa:2916
D00442	hsa:2918
D00442	hsa:2550
D00442	hsa:2912
D02250	hsa:2918
D02250	hsa:2550
D02250	hsa:2912
D00139	hsa:2913
D00139	hsa:2915
D00139	hsa:2912
D01828	hsa:2915
D01828	hsa:2917
D01828	hsa:5737
D01965	hsa:2913
D01965	hsa:2918
D01965	hsa:2550
D00965	hsa:2913
D00965	hsa:2918
D00965	hsa:2911
D03880	hsa:2914
D03880	hsa:2918
D03880	hsa:2917
D03966	hsa:6915
D03966	hsa:1241
D03966	hsa:5031
D00542	hsa:5732
D00542	hsa:5731
D00542	hsa:5739
D00049	hsa:3351
D00049	hsa:5031
D00049	hsa:5737
D00775	hsa:6915
D00775	hsa:10161
D00775	hsa:5724
